id,name,age,country,salary,department,joining_date,json_data
1,Alice,25,USA,60000,IT,2021-01-15,"{""project"": ""X"", ""hours"": 40}"
2,Bob,30,Canada,70000,Finance,2020-03-22,"{""project"": ""Y"", ""hours"": 35}"
3,Charlie,35,USA,60000,HR,2019-07-19,"{""project"": ""Z"", ""hours"": 38}"
4,David,40,UK,93000,IT,2018-12-01,"{""project"": ""X"", ""hours"": 45}"
5,Eve,28,USA,50000,Finance,2022-08-10,"{""project"": ""Y"", ""hours"": 42}"
6,Frank,50,UAE,60000,HR,2015-05-30,"{""project"": ""Z"", ""hours"": 30}"
7,Grace,33,Canada,92000,IT,2017-04-18,"{""project"": ""X"", ""hours"": 50}"
8,Hank,27,USA,62000,HR,2023-01-01,"{""project"": ""Y"", ""hours"": 32}"
9,Ivy,31,UK,58000,Finance,2021-10-12,"{""project"": ""Z"", ""hours"": 36}"
10,Jack,29,UAE,67000,IT,2020-11-05,"{""project"": ""X"", ""hours"": 37}"
11,Kate,45,USA,85000,Finance,2016-02-27,"{""project"": ""Y"", ""hours"": 40}"
12,Leo,38,Canada,93000,HR,2019-08-14,"{""project"": ""Z"", ""hours"": 34}"
13,Mona,26,USA,72000,IT,2022-04-25,"{""project"": ""X"", ""hours"": 44}"
14,Neil,42,UK,81000,Finance,2018-03-09,"{""project"": ""Y"", ""hours"": 39}"
15,Olivia,36,UAE,91000,HR,2020-06-17,"{""project"": ""Z"", ""hours"": 33}"
